Name,Date,Time,A (OD),B (OD),C (OD),D (OD)
T0 Start,4/8/2024,9:00 PM,0.051,0.051,0.048,0.048
T0 End,4/9/2024,10:50 AM,2.44,2.43,2.35,2.35
T1 start,4/9/2024,11:10 AM,0.104,0.105,0.099,0.101
T1 end,4/9/2024,4:55 PM,0.575,0.558,0.584,0.56
T2 start,4/9/2024,5:15 PM,0.064,0.055,0.056,0.054
T2 end,4/10/2024,11:15 AM,2.07,2.08,2.05,2.12
T2 out start,4/10/2024,11:35 AM,0.102,0.105,0.105,0.106
T2 out end,4/10/2024,5:50 PM,0.502,0.356,0.37,0.284
T3d1 start,4/10/2024,6:10 PM,0.049,0.045,0.046,0.045
T3d1 end,4/11/2024,11:10 AM,2.12,2.07,2.09,2.06
T3d2 start,4/11/2024,11:30 AM,0.049,0.045,0.046,0.048
T3d2 end,4/12/2024,11:25 AM,2.79,2.69,2.56,2.64
T3 out start,4/12/2024,11:45 AM,0.162,0.145,0.14,0.154
T3 out end,4/12/2024,6:10 PM,0.584,0.898,0.888,0.93
T4d1 start,4/12/2024,6:40 PM,0.045,0.048,0.05,0.049
T4 d1 end,4/13/2024,1:20 PM,2.59,2.77,2.79,2.82
T4 d2 start,4/13/2024,1:40 PM,0.046,0.042,0.049,0.045
T4 d2 end,4/14/2024,11:40 AM,2.29,2.49,2.5,2.55
T4 d3 start,4/14/2024,12:00 PM,0.046,0.047,0.045,0.042
T4 d3 end,4/15/2024,1:00 PM,2.35,2.37,2.31,2.46
T4 d3 start,4/15/2024,1:20 PM,0.052,0.05,0.044,0.045
T4 d3 end,4/16/2024,11:20 AM,1.49,1.96,2.56,3.98
T4 out start,4/16/2024,11:40 AM,0.106,0.094,0.105,0.113
T4 out end,4/16/2024,6:40 PM,0.812,0.766,0.848,0.83
T5 d1 start,4/16/2024,7:00 PM,0.047,0.048,0.049,0.045
T5 d1 end,4/17/2024,12:00 PM,2.79,2.48,2.62,2.69
T5 d2 start,4/17/2024,12:20 PM,0.041,0.046,0.071,0.058
T5 d2 end,4/18/2024,3:20 PM,2.59,2.49,2.51,2.59
T5 d3 start,4/18/2024,3:35 PM,0.045,0.046,0.046,0.052
T5 d3 end,4/19/2024,3:40 PM,2.58,2.51,2.48,2.65
T5 d4 start,4/19/2024,4:05 PM,0.043,0.045,0.045,0.046
T5 d4 end,4/20/2024,11:40 AM,2.47,2.54,2.43,2.61
T5 out start,4/20/2024,12:00 PM,0.117,0.118,0.103,0.116
T5 out end,4/20/2024,6:20 PM,0.804,0.816,0.73,0.812
